latitud,longitud,Barrio,Ciudad,Area_total,Area_constr,MONEDA,Area_constr_cat,NroBanios,Dormitorios,Antiguedad,Cocheras,areas_diff,geohash_grado5,geohash_grado6,geohash_grado7,geohash_grado8,geohash_grado9,Precio_m2_total
-12.2159851,-77.0037262,Chorrillos,Lima,1345.0,480.0,S/,16.0,4.0,5.0,18.0,4.0,865.0,6mc4x,6mc4x8,6mc4x8p,6mc4x8ps,6mc4x8pse,2507.434944237918
-12.9552638284,-76.5128017264,Asia,Cañete,200.0,150.0,S/,2.0,4.0,4.0,8.0,2.0,50.0,6m9w6,6m9w6c,6m9w6ct,6m9w6ct4,6m9w6ct44,5214.24
-12.1293608,-76.97918879999997,Santiago de Surco,Lima,288.0,250.0,S/,6.0,3.0,4.0,28.0,2.0,38.0,6mc6b,6mc6br,6mc6brc,6mc6brcm,6mc6brcmq,8263.888888888889
-12.0042699,-77.09352309999998,San Martín de Porres,Lima,289.0,280.0,S/,7.0,3.0,6.0,16.0,2.0,9.0,6mc5t,6mc5tw,6mc5tww,6mc5twwn,6mc5twwnn,2267.128027681661
-12.07670355010257,-76.90773762486879,La Molina,Lima,700.0,500.0,USD,16.0,5.0,4.0,22.0,4.0,200.0,6mc73,6mc73c,6mc73ct,6mc73ct2,6mc73ct2p,5500.0
-12.2201034,-76.99783789999998,Chorrillos,Lima,300.0,300.0,USD,9.0,4.0,4.0,20.0,2.0,0.0,6mc4r,6mc4rz,6mc4rz7,6mc4rz7u,6mc4rz7us,4433.333333333333
-12.072203,-76.99059240000003,San Luis,Lima,900.0,806.0,S/,19.0,3.0,4.0,33.0,3.0,94.0,6mc72,6mc724,6mc7243,6mc72434,6mc72434m,3560.0
-12.119518199999998,-76.9945733,Santiago de Surco,Lima,370.0,170.0,S/,2.0,2.0,3.0,28.0,2.0,200.0,6mc5p,6mc5pc,6mc5pcw,6mc5pcwq,6mc5pcwq8,4854.054054054054
-11.9572696,-77.0542876,Comas,Lima,236.0,236.0,S/,5.0,3.0,4.0,17.0,1.0,0.0,6mc5y,6mc5yx,6mc5yx4,6mc5yx4z,6mc5yx4zb,2579.491525423729
-12.1990036,-77.0056713,Chorrillos,Lima,240.0,240.0,S/,5.0,3.0,4.0,22.0,2.0,0.0,6mc4x,6mc4xe,6mc4xen,6mc4xenp,6mc4xenpt,2528.75
-12.12995033019571,-76.99239697841345,Santiago de Surco,Lima,306.0,273.0,USD,7.0,3.0,4.0,29.0,2.0,33.0,6mc4z,6mc4zz,6mc4zzz,6mc4zzzc,6mc4zzzcg,7663.398692810458
-12.21591304588367,-76.92787287724609,Villa el Salvador,Lima,120.0,100.0,S/,0.0,3.0,4.0,22.0,1.0,20.0,6mc69,6mc692,6mc692n,6mc692nv,6mc692nv4,2666.6666666666665
-12.111578,-76.9721667,Santiago de Surco,Lima,168.0,222.0,USD,5.0,3.0,4.0,31.0,2.0,-54.0,6mc70,6mc707,6mc707n,6mc707ns,6mc707nsf,9375.0
-12.7343524,-76.63003559999999,Asia,Cañete,232.0,232.0,S/,5.0,5.0,5.0,8.0,3.0,0.0,6m9x8,6m9x81,6m9x81z,6m9x81z9,6m9x81z9n,3413.793103448276
-12.092213300000001,-76.97102290000002,Santiago de Surco,Lima,400.0,400.0,S/,14.0,4.0,4.0,25.0,3.0,0.0,6mc70,6mc70q,6mc70qx,6mc70qxm,6mc70qxmv,6281.25
-12.2817954,-76.8468704,Lurín,Lima,1000.0,580.0,S/,17.0,5.0,4.0,4.0,4.0,420.0,6mc65,6mc65k,6mc65k1,6mc65k1v,6mc65k1v6,1732.5
-12.0842573,-76.98950759999998,San Borja,Lima,180.0,300.0,S/,9.0,3.0,5.0,32.0,2.0,-120.0,6mc72,6mc720,6mc7201,6mc7201u,6mc7201un,7008.88888888889
-12.11114867173514,-77.04045813007811,Miraflores,Lima,100.0,250.0,USD,6.0,3.0,4.0,50.0,2.0,-150.0,6mc5n,6mc5ng,6mc5ngh,6mc5nghz,6mc5nghz7,13300.0
-13.02792683619965,-76.48698589234317,Cerro Azul,Cañete,150.0,150.0,S/,2.0,4.0,3.0,3.0,2.0,0.0,6m9tg,6m9tgk,6m9tgkr,6m9tgkrf,6m9tgkrfu,4080.0
-12.1194594,-76.9981708,Santiago de Surco,Lima,498.0,498.0,S/,16.0,4.0,4.0,26.0,4.0,0.0,6mc5p,6mc5pc,6mc5pce,6mc5pcex,6mc5pcexh,10542.168674698794
-12.0933405,-76.9945203,San Borja,Lima,451.0,451.0,USD,15.0,4.0,5.0,30.0,2.0,0.0,6mc5p,6mc5py,6mc5pyq,6mc5pyqr,6mc5pyqr1,9312.638580931263
-12.107892999999999,-76.9668905,Santiago de Surco,Lima,331.0,310.0,USD,9.0,3.0,4.0,31.0,2.0,21.0,6mc70,6mc70e,6mc70ef,6mc70ef6,6mc70ef6m,7401.812688821752
-12.081241499999999,-76.89900179999998,La Molina,Lima,324.0,354.0,USD,11.0,4.0,4.0,14.0,3.0,-30.0,6mc76,6mc760,6mc760e,6mc760ev,6mc760eve,7021.6049382716055
-12.0734211,-76.9814824,Ate Vitarte,Lima,230.0,230.0,S/,5.0,4.0,5.0,22.0,1.0,0.0,6mc72,6mc724,6mc724p,6mc724pg,6mc724pg1,5300.434782608696
-12.0759522,-76.9694413,La Molina,Lima,1200.0,1000.0,S/,19.0,5.0,4.0,20.0,5.0,200.0,6mc72,6mc729,6mc7298,6mc7298s,6mc7298s6,10058.333333333334
-12.08523195253922,-76.93148417874528,La Molina,Lima,1281.0,375.0,USD,12.0,4.0,4.0,17.0,3.0,906.0,6mc71,6mc71r,6mc71ru,6mc71run,6mc71runq,6010.928961748634
-12.1178159,-76.9352274,La Molina,Lima,1140.0,700.0,S/,19.0,5.0,4.0,20.0,5.0,440.0,6mc71,6mc716,6mc7161,6mc71612,6mc71612x,5795.438596491228
-12.057190400000001,-77.09128559999998,Bellavista,Callao,270.0,270.0,S/,7.0,3.0,6.0,48.0,2.0,0.0,6mc5m,6mc5mt,6mc5mtp,6mc5mtpc,6mc5mtpcf,3514.8148148148152
-12.084169462,-76.9123289006,NoEspecifica,Lima,278.0,278.0,S/,7.0,3.0,4.0,21.0,3.0,0.0,6mc73,6mc73b,6mc73b4,6mc73b4h,6mc73b4hs,7684.748201438849
-12.08398890247468,-76.90269128465576,NoEspecifica,Lima,833.0,466.0,S/,15.0,6.0,6.0,16.0,4.0,367.0,6mc76,6mc760,6mc7601,6mc7601j,6mc7601jt,3351.518607442977
-12.780078999999999,-76.5957778,Asia,Cañete,180.0,180.0,S/,3.0,4.0,4.0,9.0,2.0,0.0,6m9x3,6m9x31,6m9x312,6m9x312w,6m9x312wt,5902.222222222223
-12.7562441,-76.60430959999998,Mala,Cañete,200.0,180.0,S/,3.0,5.0,4.0,6.0,2.0,20.0,6m9x2,6m9x2v,6m9x2vf,6m9x2vf3,6m9x2vf3q,4505.0
-12.09145010000001,-77.0164248037048,San Isidro,Lima,372.0,372.0,S/,12.0,3.0,4.0,34.0,3.0,0.0,6mc5p,6mc5pq,6mc5pqy,6mc5pqy6,6mc5pqy65,6586.021505376344
-12.08895994597406,-76.99085771163939,San Borja,Lima,468.0,421.0,S/,14.0,5.0,6.0,29.0,3.0,47.0,6mc70,6mc70p,6mc70p2,6mc70p2b,6mc70p2bw,6393.1623931623935
-12.162411545485813,-76.94862777010573,Villa María del Triunfo,Lima,210.0,74.0,S/,0.0,4.0,6.0,15.0,2.0,136.0,6mc6b,6mc6bc,6mc6bcz,6mc6bczs,6mc6bczsz,2514.285714285714
-12.0625367677,-76.9423316906,NoEspecifica,Lima,310.0,310.0,S/,9.0,3.0,5.0,22.0,2.0,0.0,6mc73,6mc73h,6mc73hh,6mc73hh6,6mc73hh69,5723.435483870968
-12.1249341,-77.021433,Miraflores,Lima,500.0,500.0,S/,16.0,4.0,5.0,33.0,3.0,0.0,6mc5p,6mc5p2,6mc5p2d,6mc5p2dx,6mc5p2dxn,9100.0
