latitud,longitud,Barrio,Ciudad,Area_total,Area_constr,MONEDA,Area_constr_cat,NroBanios,Dormitorios,Antiguedad,Cocheras,areas_diff,areas_proporcion,geohash_grado5,geohash_grado6,geohash_grado7,geohash_grado8,geohash_grado9,diff_total_mean_district,Precio_m2_total
-12.0311618,-77.00227629999998,El Agustino,Lima,509.0,164.0,S/,2.0,4.0,8.0,39.0,2.0,345.0,3.1036585365853657,6mc5x,6mc5xc,6mc5xcb,6mc5xcb9,6mc5xcb9k,-228.45104895104896,1277.0137524557954
-12.1055933,-76.99458269999998,San Borja,Lima,320.0,358.0,USD,12.0,4.0,5.0,29.0,3.0,-38.0,0.8938547486033519,6mc5p,6mc5pu,6mc5pun,6mc5punr,6mc5punrb,-149.3047210300429,7437.5
-12.130620043499999,-77.0116163138,Santiago de Surco,Lima,280.0,280.0,S/,8.0,4.0,4.0,30.0,2.0,0.0,1.0,6mc4z,6mc4zx,6mc4zx9,6mc4zx9y,6mc4zx9y5,1.7665343915343783,6132.0035714285705
-12.10530880884073,-76.96419616931152,Santiago de Surco,Lima,604.0,330.0,USD,10.0,4.0,4.0,28.0,3.0,274.0,1.8303030303030303,6mc70,6mc70s,6mc70sk,6mc70sk3,6mc70sk3k,759.548951048951,5794.701986754967
-12.0827729529,-76.9717605185,Santiago de Surco,Lima,200.0,200.0,S/,4.0,3.0,4.0,23.0,2.0,0.0,1.0,6mc72,6mc722,6mc722q,6mc722qu,6mc722que,-100.28888888888889,18431.135
-12.1537414024,-76.9770608405,San Juan de Miraflores,Lima,250.0,250.0,S/,6.0,3.0,6.0,23.0,1.0,0.0,1.0,6mc6b,6mc6b7,6mc6b77,6mc6b77p,6mc6b77p2,118.31521739130434,3580.0
-12.1629099,-76.95905929999998,San Juan de Miraflores,Lima,160.0,250.0,USD,6.0,3.0,6.0,23.0,1.0,-90.0,0.64,6mc6b,6mc6bc,6mc6bcb,6mc6bcb1,6mc6bcb1g,120.31521739130434,2953.125
-12.084989,-77.029063,Lince,Lima,203.0,100.0,S/,0.0,2.0,3.0,45.0,2.0,103.0,2.03,6mc5p,6mc5pp,6mc5ppv,6mc5ppvp,6mc5ppvpu,-117.375,4913.793103448275
-12.1251168,-77.03147270000002,Miraflores,Lima,400.0,400.0,S/,14.0,3.0,4.0,29.0,3.0,0.0,1.0,6mc5p,6mc5p0,6mc5p0e,6mc5p0eq,6mc5p0eqh,-53.363636363636374,7160.0
-12.1216147,-76.97369329999998,Santiago de Surco,Lima,750.0,750.0,S/,19.0,4.0,4.0,20.0,5.0,0.0,1.0,6mc70,6mc703,6mc703m,6mc703m6,6mc703m6q,-9.59615384615384,13765.952
-12.089173851199998,-76.94514505339998,NoEspecifica,Lima,400.0,400.0,S/,14.0,5.0,5.0,15.0,3.0,0.0,1.0,6mc71,6mc71p,6mc71p4,6mc71p4r,6mc71p4r2,327.7665343915344,6065.09
-12.077973,-76.90438299999998,La Molina,Lima,527.0,340.0,USD,11.0,4.0,4.0,15.0,3.0,187.0,1.55,6mc73,6mc73c,6mc73cr,6mc73crb,6mc73crbt,-400.70731707317077,4449.715370018976
