District,Predicted_price_m2,PCA_comp,Last_price_m2
san isidro,6029.822370557926,3.014326242808949,6043.829562280497
surco,4728.38873397538,3.014326242808949,4577.091971987915
surco,4344.097928041045,3.069158067731641,4402.305684020059
miraflores,6431.941668610734,3.17269498152415,6843.569837957472
san isidro,5125.793178942825,3.17269498152415,7083.111180121019
san isidro,5031.867056066337,3.179918238109384,5576.113715690593
miraflores,5760.483640526871,3.261338108599125,7121.055733876201
la molina,3641.204569029406,3.3161699335218167,3586.1592605091623
magdalena,4210.152964688159,3.3161699335218167,3470.878475179584
san borja,4241.436664489963,3.3161699335218167,3659.939336658552
san miguel,3806.580707185041,3.3161699335218167,3506.658359048836
surco,3804.525515172944,3.3161699335218167,3800.1059904156614
san isidro,5838.907855944257,3.412483590729092,7648.651556920725
jesús maría,4017.713323125128,3.419706847314326,3747.496571464267
la molina,4368.631180441261,3.419706847314326,4482.225079074514
lince,4812.167385537732,3.419706847314326,5295.9413353679065
magdalena,4240.047586928717,3.419706847314326,4036.058761358406
miraflores,5815.201799729532,3.419706847314326,6475.806452960948
pueblo libre,3159.228466211948,3.419706847314326,3600.643415489289
san borja,5017.547182867368,3.419706847314326,4835.7627686924925
san isidro,5949.438812854306,3.419706847314326,6206.0559759296575
surco,4733.651487976378,3.419706847314326,4800.662682854228
san isidro,5567.402456849309,3.42693010389956,6451.872448975908
san isidro,5916.617089790771,3.5232437611068352,6759.494219722545
magdalena,4386.977267568915,3.666718713104502,5116.214702591863
miraflores,5600.596132035467,3.666718713104502,6021.404539858006
san borja,4904.046665721712,3.666718713104502,4699.350977767133
san isidro,5462.523951312022,3.666718713104502,5202.114985127706
surco,4612.966635527693,3.666718713104502,5062.560869741524
magdalena,4480.660813504291,3.6739419696897366,4195.741762421662
miraflores,5653.699067546939,3.7702556268970113,6437.482295439134
san isidro,5784.216991418764,3.7702556268970113,5989.727985114206
surco,4395.997947161009,3.7702556268970113,4406.484316022604
san isidro,5530.167136590033,3.817864195234468,5437.697359081514
miraflores,5709.470184135835,3.8250874518197024,5209.656011800833
san borja,4559.009775829651,3.8250874518197024,4536.076998640319
san isidro,5492.07251403375,3.8250874518197024,4631.461419890183
san isidro,6649.2116892531585,3.928624365612212,7517.256889474361
miraflores,5609.3935872768925,4.064876061024645,5463.686083546984
la molina,3463.9784264847544,4.072099317609879,2876.044053659652
surco,4597.250791467374,4.072099317609879,4828.406511079162
la molina,4363.585135062838,4.175636231402388,4058.0498113407907
miraflores,6498.096193241202,4.175636231402388,6681.667904676544
san borja,5189.695697908492,4.175636231402388,5217.042104472827
san isidro,5803.184150455413,4.175636231402388,5905.144400899542
surco,4920.570335884163,4.175636231402388,5060.589111298324
san isidro,5811.290014763912,4.182859487987622,5729.875081576459
san isidro,6708.521694658719,4.437541883910098,8262.384661060623
la molina,3214.0547071522296,4.477479922115256,3656.565870808511
la molina,3976.2325866418905,4.581016835907764,3818.409504600144
san borja,4788.358963612055,4.581016835907764,5083.594741873577
surco,4831.461621830745,4.581016835907764,5380.303906753697
san isidro,6181.518179142842,4.6845537497002745,6068.749034302434
surco,4952.894910967608,4.931565615490451,4609.990838596447
san isidro,7728.091968119946,5.193471267998161,10505.052716339176
san borja,5073.516778772774,5.336946219995827,5271.5631256882
san isidro,7686.647631152406,6.3547812565916,8392.309058792358
