,Antiguedad,Anunciante,Balneario,NroBanios,Nro_pisos,Cocheras,Dormitorios,Estado de Inmueble,Luminosidad,Mascotas,Precio,Tipo,TipoCochera,Uso_comercial,Uso_profesional,latitud,longitud,Area_constr_m2,Area_total_m2,'Cuarto de servicio','Deposito','Terraza','Kitchenette','Sala de estar','Sotano','Patio','anx81tico','Comedor diario','Comedor','Banio de servicio','Jardanxadn Interno','Walking Closet','Escritorio','Cocina','Banio independiente','Lavanderanxada','Balcon','Sala','Closet','Banio de visitas','Agua','Guardiananxada','Internet','Luz','Cable','Servicio de Limpieza','Conexion a gas','Sistema de seguridad','Telefono','Areadeportiva','Piscina','Solarium','Sala de internet','Sala de cine','Jardanxadn','Parque interno','Guarderanxada','anx81reas verdes','Club House','Hall de ingreso','Areade BBQ','Gimnasio','Areade sauna','Juegos para ninios','Ingreso independiente','Colegios cercanos','Cerca al mar','Centros comerciales cercanos','Parques cercanos','Acceso personas discapacidad','Frente al mar','Desagaue','Jacuzzi','Chimenea','Intercomunicador','Cerco Electrico','Parrilla','Aire acondicionado','Amoblado','Sauna','Calefaccion','Equipado','Terma','Portero electrico','Cocina con reposteros',Distrito,Provincia,geohash_grado6,geohash_grado5,geohash_grado7,geohash_grado8,preciom2_area_total,preciom2_area_constr,grupo_dist,area_ponderada,probability
5286,2.0,475,80,3.0,3.0,2.0,2,1,2,1,900000.0,0,3,1,1,-12.105441258433,-77.055043265607,300.0,300.0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,123,12,341,75,948,1173,3146.749285200451,3144.853126494101,1,300.0,
5287,4.0,475,80,4.0,2.0,2.0,3,4,2,1,2000000.0,0,1,1,1,-12.096877100013002,-77.055010569311,414.0,585.0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,123,12,342,75,973,1226,3146.749285200451,3144.853126494101,1,943.1371879665908,
5288,1.0,248,80,4.0,2.0,0.0,4,4,2,1,600000.0,3,2,1,1,-12.1263294,-77.0340476,392.0,2148.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,2,2,2,2,2,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,33,12,349,76,1031,1302,680.8152261277428,1633.385470533549,0,5825.712877598438,
5289,1.0,475,80,4.0,3.0,2.0,3,3,2,1,930000.0,0,1,1,1,-12.0739448,-76.8901113,520.0,1160.0,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,2,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,70,12,780,108,3080,4296,1971.8670147155633,2840.748410093181,1,2500.3964929743743,
5290,3.0,475,80,4.0,2.0,5.0,4,1,2,1,730000.0,4,1,1,1,-12.0812415,-76.8990018,380.0,800.0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,2,2,2,2,2,2,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,70,12,775,108,3035,4215,1971.8670147155633,2840.748410093181,1,1679.6351985144333,
5291,2.0,475,80,5.0,2.0,2.0,3,4,2,0,560000.0,4,3,1,1,-12.0832171,-76.89404880000002,312.0,363.0,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,0,1,2,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,70,12,775,108,3042,4228,1971.8670147155633,2840.748410093181,1,469.8128455338953,
5292,2.0,475,80,3.0,3.0,2.0,3,4,2,1,425000.0,0,3,1,1,-12.1239916,-76.99760699999999,264.0,178.0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,140,12,359,76,1149,1483,2002.7145887498311,2522.37028455222,1,-2.1157787434316333,
5293,6.0,475,80,3.0,3.0,2.0,4,1,2,1,395000.0,0,3,1,1,-12.116331509087,-77.039947857052,230.0,127.0,1,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,0,1,2,2,2,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,91,12,332,75,876,1071,2596.08779975437,2361.150732569044,1,-88.72006058806333,
5294,4.0,475,80,4.0,1.0,1.0,2,4,2,1,550000.0,0,1,1,1,-12.117063680232999,-76.98785660997599,177.0,250.0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,140,12,674,102,2156,2715,2002.7145887498311,2522.37028455222,1,402.8889749798896,
5295,3.0,475,80,5.0,1.0,4.0,3,6,2,1,1350000.0,4,1,1,1,-12.0847243,-76.9710095,440.0,937.0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,140,12,722,104,2606,3464,2002.7145887498311,2522.37028455222,1,1977.9016515754126,
