iter	Passed	Remaining
907	5324	539
908	5329	533
909	5335	527
910	5340	521
911	5345	515
912	5351	509
913	5357	504
914	5362	498
915	5367	492
916	5372	486
917	5377	480
918	5383	474
919	5389	468
920	5394	462
921	5399	456
922	5404	450
923	5409	444
924	5415	439
925	5421	433
926	5428	427
927	5433	421
928	5438	415
929	5444	409
930	5449	403
931	5454	397
932	5460	392
933	5465	386
934	5469	380
935	5475	374
936	5480	368
937	5485	362
938	5490	356
939	5495	350
940	5500	344
941	5506	339
942	5511	333
943	5516	327
944	5522	321
945	5527	315
946	5532	309
947	5537	303
948	5543	297
949	5548	292
950	5568	286
951	5579	281
952	5586	275
953	5591	269
954	5597	263
955	5602	257
956	5607	251
957	5612	246
958	5617	240
959	5623	234
960	5628	228
961	5633	222
962	5638	216
963	5644	210
964	5649	204
965	5654	199
966	5660	193
967	5665	187
968	5670	181
969	5675	175
970	5680	169
971	5686	163
972	5691	157
973	5696	152
974	5701	146
975	5707	140
976	5712	134
977	5717	128
978	5723	122
979	5728	116
980	5733	111
981	5739	105
982	5744	99
983	5749	93
984	5755	87
985	5760	81
986	5765	75
987	5770	70
988	5775	64
989	5781	58
990	5786	52
991	5791	46
992	5796	40
993	5802	35
994	5807	29
995	5812	23
996	5817	17
997	5822	11
998	5828	5
999	5833	0
