element_type,osmid,amenity,name,geometry
node,1966842393,school,Institución Educativa Jesus El Buen Pastor,POINT (-77.0027051 -12.0128637)
node,1966842394,school,Institución Educativa Johannes Kepler Ii,POINT (-77.0042002 -12.0245495)
node,1966842396,school,Institución Educativa Jose Galvez Egusquiza,POINT (-76.9852005 -12.0177092)
node,1966842397,school,Institución Educativa Joseph Novak,POINT (-77.01489580000001 -11.9868572)
node,1966842398,school,Institución Educativa Juan Pablo Ii,POINT (-77.00211 -12.00404)
node,1966842399,school,Institución Educativa Juan Rulfo,POINT (-76.99894999999999 -12.0009)
node,1966842401,school,Institución Educativa Juan Xxiii,POINT (-77.0069 -11.99977)
node,1966842402,school,Colegio Juventud Cientifica,POINT (-77.00608680000001 -12.005115)
node,1966842403,school,Institución Educativa La Alegria De Jesus,POINT (-77.00174579999999 -12.0263439)
node,1966842405,school,Institución Educativa Las Americas,POINT (-77.0048948 -11.9933079)
node,1966842406,school,Institución Educativa Latinoamericano,POINT (-77.0047479 -12.0167003)
node,1966842407,school,Institución Educativa Leonard Euler,POINT (-76.99361 -12.00246)
node,1966842408,school,Institución Educativa Leonardo Da Vinci,POINT (-77.0145157 -11.9889392)
node,1966842409,school,Colegio Libertadores de America,POINT (-77.0108225 -11.9880857)
node,1966842410,school,Colegio Liceo San Antonio,POINT (-77.01485 -11.98639)
node,1966842411,school,Institución Educativa Liscay Ii,POINT (-76.9789373 -12.0121891)
node,1966842412,school,Institución Educativa Lord Thomas Cochrane,POINT (-77.00490600000001 -12.0088731)
node,1966842413,school,Colegio Los Angeles de Belen,POINT (-76.9987895 -12.0123809)
node,1966842415,school,Institución Educativa Los Peregrinos,POINT (-77.0020487 -12.0237737)
node,1966842417,school,Institución Educativa Luz Y Verdad,POINT (-77.01573999999999 -11.994219)
node,1966842419,school,Institución Educativa Marcelino Champagnat,POINT (-76.9855683 -12.0189388)
node,1966842420,school,Institución Educativa Maria Inmaculada,POINT (-77.0068488 -12.0255548)
node,1966842421,school,Institución Educativa Maria Mazzarello,POINT (-77.0154089 -12.0012359)
node,1966842422,school,Institución Educativa Maria Reyna Del Cielo,POINT (-76.99764500000001 -12.0001379)
node,1966842424,school,Institución Educativa Mariscal Andres Avelino Caceres Dorregaray De Campoy,POINT (-76.96334 -12.0133)
node,1966842425,school,Institución Educativa Mariscal Sucre,POINT (-76.9988292 -12.0066135)
node,1966842427,school,Colegio Master Ingenieros I,POINT (-76.9851366 -12.0239075)
node,1966842428,school,Institución Educativa Master Ingenieros Ii,POINT (-76.98245230000001 -12.0249152)
node,1966842429,school,Colegio Master Ingenieros,POINT (-76.98362710000001 -12.0238735)
node,1966842430,school,Institución Educativa Mater Et Magistra,POINT (-77.00905 -11.99575)
